LEXEME	REPLACEMENT	COMMENT
ɛ́rⁿɛ	ɛ́r̃ɛ́	final tone missing
jà̌ŋ jɛ᷈: ló	jàŋ_jɛ᷈:_ló	extra space
píŋgí-l-í::	píŋgí-l-í:	final underscore
sàglɛ̊:g	sàglɛ:g	voiceless symbol above final vowel
mî: # sélè:	mî:_sélè:	hastag symbol
sê:ⁿ	sễ:	final nasalization
úmâ-ⁿ_mà	úmẫ_mà	extra hyphen
yí-m\yì::tɛ̂:	yí-m	two forms in one cell
kɔ̀gɔ̀lɔ́_[JH_<_Ramata]	kɔ̀gɔ̀lɔ́	comments in cell
pɔ̀lì_ìyɛ̀mú_xxx[here_or_02149?]	pɔ̀lì_ìyɛ̀mú	additions in cell
pɔ̀lì_ìyɛ̀mú_xxx[here_or_09177]	pɔ̀lì_ìyɛ̀mú	additions in cell
[verb] dùmɔ́-ndɔ́	dùmɔ́-ndɔ́	extra symbol
{I		
bé: (bé: gè)	bé:	(bé: gè) is the plural
dɔ̂: 	dɔ̂:	extra space
ìjɛ́ 	ìjɛ́	extra space
mî:# bíláŋgà:ⁿ	mî:_bíláŋgà:ⁿ	added word boundary?
ɔ#wⁿɔ̀:-ɛ̀mnɛ́	ɔ-wⁿɔ̀:-ɛ̀mnɛ́	bad # character
sá"	sá	
